id,published_at,title,description,body,categories,industries,entities,topics,language,sentiment_overall_score,sentiment_overall_polarity,sentiment_title_score,sentiment_title_polarity,sentiment_body_score,sentiment_body_polarity,summary
3022068787,2024-11-26T20:11:34Z,Drake accuse indirectement Apple et Spotify de favoriser Kendrick Lamar (màj)...[Upgrade subscription plan],Drake accuse indirectement Apple et Spotify de favoriser Kendrick Lamar (màj) - iPhoneSoft Keynote Apple Vision Pro iPad Pro M4 iPhone 16 iOS 18 MacOS Sequoia. . ....[Upgrade subscription plan],Drake accuse indirectement Apple et Spotify de favoriser Kendrick Lamar (màj) - iPhoneSoft Keynote Apple Vision Pro iPad Pro M4 iPhone 16 iOS 18 MacOS Sequoia Facebook Twitter Instagram RSS iPhoneSoft...[+4794 chars]...[Upgrade subscription plan],"[{""id"": ""IAB19-31"", ""name"": ""Unix"", ""score"": 0.6, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB19-31""}}, {""id"": ""IAB19-21"", ""name"": ""Mac Support"", ""score"": 0.4, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB19-21""}}, {""id"": ""IAB13-6"", ""name"": ""Insurance"", ""score"": 0.4, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB13-6""}}, {""id"": ""IAB19-6"", ""name"": ""Cell Phones"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB19-6""}}, {""id"": ""IAB9-31"", ""name"": ""Woodworking"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB9-31""}}, {""id"": ""IAB9-30"", ""name"": ""Video & Computer Games"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB9-30""}}, {""id"": ""IAB1-6"", ""name"": ""Music"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB1-6""}}, {""id"": ""IAB8-5"", ""name"": ""Cocktails/Beer"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB8-5""}}]","[{""id"": 1063, ""name"": ""Live Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1063""}}, {""id"": 631, ""name"": ""On-demand video"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/631""}}, {""id"": 630, ""name"": ""Audio Streaming"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/630""}}, {""id"": 849, ""name"": ""Electronic Devices Retail"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/849""}}]","[{""id"": 5572773, ""name"": ""Robert Van Kampen"", ""links"": {""self"": ""https://api.apitube.io/v1/news/entity/5572773"", ""wikipedia"": ""https://en.wikipedia.org/wiki/Robert_Van_Kampen"", ""wikidata"": ""https://www.wikidata.org/wiki/Q7350569""}, ""types"": [""human""], ""language"": ""en"", ""frequency"": 1, ""title"": {""pos"": [{""start"": 590, ""end"": 598}]}, ""body"": {""pos"": [{""start"": 590, ""end"": 598}]}}]",,en,-0.06,negative,-0.15,negative,0.03,positive,"Drake accuse Universal Music d'avoir soudoyé Apple et Spotify pour mettre en avant son rival Kendrick Lamar, lui aussi signé chez Universal. Selon la requête déposée par ses avocats, Universal Music aurait artificiellement gonflé le nombre d'écoutes sur Spotify de la chanson Not Like Us de Kendrick Lamar, augmentant ainsi illégalement les revenus générés par ce morceau. Selon les documents déposés mardi auprès de la Cour suprême de New York, la pré-action est abandonnée sans aucun coût financier pour aucune des parties impliquées. Il pleure fort 26/11/2024 à 21h33 Donnez votre avis Cliquez pour commenter oh4 Se souvenir de mes informations Etre notifié en cas de réponse ?"
3022951687,2024-10-21T21:10:06Z,¡Entérate! Ya puedes añadir tus canciones de Instagram directamente en Spotify...[Upgrade subscription plan],puedes añadir tus canciones de Instagram directamente en. . ....[Upgrade subscription plan],puedes añadir tus canciones de Instagram directamente en Spotify MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Est...[+2612 chars]...[Upgrade subscription plan],"[{""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}]","[{""id"": 1042, ""name"": ""Computer Network Services\nLive-functioning software\nProvided through timely network access to data center hosted on off-site server\nCloud computing"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1042""}}, {""id"": 74, ""name"": ""Livestock production"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/74""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 1198, ""name"": ""Unmanned Aerial Delivery"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1198""}}, {""id"": 954, ""name"": ""Records Management in Business"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/954""}}, {""id"": 1041, ""name"": ""Tech Solutions"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1041""}}]",,,es,0,neutral,0,neutral,0.01,positive,"puedes añadir tus canciones de Instagram directamente en Spotify MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Estilo de Vida Ciencia y Tecnología Deportes Economía Otras Salud Denuncias Opinión Contactos Actualidad¡Entérate! Ya puedes añadir tus canciones de Instagram directamente en Spotify Actualidad ¡Entérate! Ya puedes añadir tus canciones de Instagram directamente en Spotify Medios Panoramaoctubre 21, 2024 | 05:36 PM | 1 min de lectura COMPARTIR Panorama Tecnología. Algunas publicaciones de Instagram llevan una canción que, si le gusta al usuario, puede añadirla a su lista de reproducción de Spotify con una nueva opción que se ha implementado recientemente, y que han anunciado en la red social X. Te puede interesar: Actualidad Instagram lanza tarjetas de perfil para compartir y conectar con amigos Spotify e Instagram estrenan una nueva integración permitirá a los usuarios de ambos servicios añadir canciones a sus listas de reproducción directamente desde la red social."
3022965699,2024-11-28T02:11:20Z,¿Cuándo puedes esperar tu resumen de Spotify Wrapped 2024?...[Upgrade subscription plan],¿Cuándo puedes esperar tu resumen de Spotify Wrapped. . ....[Upgrade subscription plan],¿Cuándo puedes esperar tu resumen de Spotify Wrapped 2024? MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Estilo de...[+4800 chars]...[Upgrade subscription plan],"[{""id"": ""IAB3"", ""name"": ""Business"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB3""}}, {""id"": ""IAB1"", ""name"": ""Arts & Entertainment"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB1""}}]","[{""id"": 632, ""name"": ""Film"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/632""}}, {""id"": 943, ""name"": ""Business Office Management"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/943""}}, {""id"": 317, ""name"": ""Exam Preparation"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/317""}}, {""id"": 1209, ""name"": ""Passenger Transport"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1209""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 434, ""name"": ""Brokerage Options in the"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/434""}}]",,,es,-0.03,neutral,-0.08,negative,0.03,positive,"MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Estilo de Vida Ciencia y Tecnología Deportes Economía Otras Salud Denuncias Opinión Contactos ActualidadCiencia y Tecnología¿Cuándo puedes esperar tu resumen de Spotify Wrapped 2024? Actualidad Ciencia y Tecnología ¿Cuándo puedes esperar tu resumen de Spotify Wrapped 2024? Medios Panoramanoviembre 27, 2024 | 10:18 PM | 4 mins de lectura COMPARTIR Panorama Tecnología. Spotify dijo que su Wrapped de 2023 fue el «más grande jamás creado», en términos de alcance de audiencia y el tipo de datos que proporcionó. Ya casi llega esa época del año: Spotify se prepara para lanzar su Wrapped anual, resúmenes personalizados de los hábitos de escucha de los usuarios y del año en audio."
3023002985,2024-11-02T19:11:47Z,"Karol G, la número uno en Spotify entre artistas latinas en 2024...[Upgrade subscription plan]","Karol G, la número uno en Spotify entre artistas latinas en. . ....[Upgrade subscription plan]","Karol G, la número uno en Spotify entre artistas latinas en 2024 MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Est...[+2577 chars]...[Upgrade subscription plan]","[{""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}, {""id"": ""IAB22-3"", ""name"": ""Comparison"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB22-3""}}]","[{""id"": 74, ""name"": ""Livestock production"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/74""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 815, ""name"": ""Motorcycles are part of the transportation"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/815""}}, {""id"": 1081, ""name"": ""Paid Swimming"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1081""}}, {""id"": 632, ""name"": ""Film"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/632""}}, {""id"": 653, ""name"": ""Radio programming distribution"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/653""}}]",,,es,0.01,neutral,0,neutral,0.02,positive,"– Karol G ha alcanzado un nuevo hito en su exitosa carrera, pues se ha convertido en la artista latina más reproducida en Spotify en lo que va de 2024. Te puede interesar: Actualidad Al estilo Morticia Addams, Mariah Carey da la bienvenida a la Navidad Este impresionante número la posiciona como la cantante femenina más destacada en español y portugués. Parece difícil que alguna otra artista pueda desbancar a Karol G, dada la enorme diferencia de casi 3 billones de reproducciones con la segunda artista en la lista, Shakira. Karol G continúa demostrando su poder en la industria musical y su capacidad para conectar con el público a través de su música. Te puede interesar: Surgen preocupaciones por Matt LeBlanc a un año de la muerte de Matthew Perry ¿CUÁLES SON LAS 5 CANCIONES MÁS ESCUCHADAS DE KAROL G EN SPOTIFY?"
3023005052,2024-05-03T20:05:43Z,Spotify ahora permite acceder letras de las canciones en la versión gratuita...[Upgrade subscription plan],Spotify ahora permite acceder a canciones en la versión. . ....[Upgrade subscription plan],Spotify ahora permite acceder a canciones en la versión gratuita MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Viral Est...[+2755 chars]...[Upgrade subscription plan],"[{""id"": ""IAB3"", ""name"": ""Business"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB3""}}, {""id"": ""IAB1"", ""name"": ""Arts & Entertainment"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB1""}}, {""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}]","[{""id"": 74, ""name"": ""Livestock production"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/74""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 433, ""name"": ""Brokerage Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/433""}}, {""id"": 1198, ""name"": ""Unmanned Aerial Delivery"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1198""}}, {""id"": 420, ""name"": ""Payment Solutions"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/420""}}, {""id"": 630, ""name"": ""Audio Streaming"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/630""}}]",,,es,0,neutral,0,neutral,0.01,positive,"La plataforma de audio en “streaming” incorporó las letras de las canciones en 2021, tanto en las cuentas gratuitas como en la suscripción Premium, para que los usuarios pudieran seguirlas junto a las canciones de sus artistas favoritos. En septiembre, la compañía inicio una prueba en la que algunos usuarios de cuentas gratuitas perdieron el acceso a las letras de las canciones, una restricción que más usuarios han empezado a experimentar en los últimos días. Te puede interesar: Actualidad Cambia tu celular, HONOR Magic6 Pro, el nuevo móvil con cámara Falcon 2. 0 que integra inteligencia artificial En redes sociales y foros como Reddit han compartido la notificación que les aparece -en web y aplicación móvil- cuando intentan acceder a las letras de las canciones, que les insta a suscripción al plan premium para verlas de nuevo. Caso Ogtic: Jacinto Dumit sacó Registro de Proveedor del Estado solo meses antes de la licitación Violando la ley, OGTIC beneficia al ministro Carlos Bonilla con contrato de alquiler de un local que no existe en Punta Cana PANORAMACalle Eugenio Deschamps No."
3023029176,2024-06-03T16:06:02Z,Spotify aumenta el precio de la suscripción Premium en EEUU por segundo año consecutivo...[Upgrade subscription plan],Spotify aumenta el precio de la suscripción Premium en EEUU por segundo año consecutivo . . ....[Upgrade subscription plan],Spotify aumenta el precio de la suscripción Premium en EEUU por segundo año consecutivo X CONTINUAR AL LISTIN DIARIO Santo Domingo 23°C/26°C Barrick Gold Fuerza del Pueblo Haití Pelota invernal Guía D...[+4800 chars]...[Upgrade subscription plan],"[{""id"": ""IAB4-10"", ""name"": ""U.S. Military"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB4-10""}}, {""id"": ""IAB19-34"", ""name"": ""Web Design/HTML"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB19-34""}}, {""id"": ""IAB18-5"", ""name"": ""Clothing"", ""score"": 0.3, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB18-5""}}, {""id"": ""IAB8-5"", ""name"": ""Cocktails/Beer"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB8-5""}}, {""id"": ""IAB15-1"", ""name"": ""Astrology"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB15-1""}}, {""id"": ""IAB19-18"", ""name"": ""Internet Technology"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB19-18""}}, {""id"": ""IAB20-11"", ""name"": ""Caribbean"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB20-11""}}, {""id"": ""IAB11-3"", ""name"": ""U.S. Government Resources"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB11-3""}}]","[{""id"": 1082, ""name"": ""Paid Tennis"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1082""}}, {""id"": 1063, ""name"": ""Live Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1063""}}, {""id"": 1067, ""name"": ""Sporting event"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1067""}}]",,,en,0.01,neutral,0,neutral,0.02,positive,"Entonces, los usuarios comenzaron a pagar 10,99 euros por el plan Premium individual, en lugar de los 9,99 euros que costaba anteriormente. Spotify ha adelantado que a partir del próximo mes de julio los suscriptores Premium del plan individual, que permite el uso del servicio de música en un solo dispositivo, comenzarán a pagar 11,99 dólares al mes, un dólar más que el precio actual de 10,99 dólares. Siguiendo esta línea, el plan Familiar, que permite un uso simultáneo en hasta seis cuentas convivientes, pasará a costar 19,99 dólares al mes, tres dólares más que el precio anterior."
3023043204,2024-07-01T11:07:17Z,Karol G se convierte en la única latina en el top 20 de Spotify Global por su tema ‘Si antes te hubiera conocido’ - El Metropolitano...[Upgrade subscription plan],"La cantante colombiana Karol G ha logrado un nuevo hito en su carrera con el lanzamiento de su último sencillo, «Si antes te hubiera conocido». Publicada el jueves 20 de junio, esta canción con ritmos...[+172 chars]...[Upgrade subscription plan]",Karol G se convierte en la única latina en el top 20 de Spotify Global por su tema ‘Si antes te hubiera conocido’ - El Metropolitano Inicio Destacadas País Política El Mundo Economía Deportes Ciencia ...[+4800 chars]...[Upgrade subscription plan],"[{""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}, {""id"": ""IAB20-11"", ""name"": ""Caribbean"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB20-11""}}]","[{""id"": 943, ""name"": ""Business Office Management"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/943""}}, {""id"": 741, ""name"": ""Office Items"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/741""}}, {""id"": 317, ""name"": ""Exam Preparation"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/317""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 644, ""name"": ""Printed Material"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/644""}}, {""id"": 875, ""name"": ""Protection Products"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/875""}}, {""id"": 327, ""name"": ""Mining and production of coal"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/327""}}]",,,es,0.05,positive,0.07,positive,0.04,positive,"En su primer día, «Si antes te hubiera conocido» registró más de 3 millones de reproducciones, debutando en la posición número 27 del ranking global de Spotify. Este impresionante arranque ha continuado en los días siguientes, elevando la canción al top 20 global, con más de 4. Este logro convierte a Karol G en la única artista latina en alcanzar el top 20 global de Spotify en esta semana, destacando no solo su popularidad sino también la influencia de la música latina en el escenario internacional. Su éxito refleja un momento significativo para la representación de artistas latinos y femeninas en la industria musical global. Los campos obligatorios están marcados con *Comentario * Nombre * Correo electrónico * Web Guarda mi nombre, correo electrónico y web en este navegador para la próxima vez que comente."
3023043296,2024-07-01T11:07:17Z,Karol G se convierte en la única latina en el top 20 de Spotify Global por su tema ‘Si antes te hubiera conocido’ - El Metropolitano...[Upgrade subscription plan],"La cantante colombiana Karol G ha logrado un nuevo hito en su carrera con el lanzamiento de su último sencillo, «Si antes te hubiera conocido». Publicada el jueves 20 de junio, esta canción con ritmos...[+172 chars]...[Upgrade subscription plan]",Karol G se convierte en la única latina en el top 20 de Spotify Global por su tema ‘Si antes te hubiera conocido’ - El Metropolitano Inicio Destacadas País Política El Mundo Economía Deportes Ciencia ...[+4800 chars]...[Upgrade subscription plan],"[{""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}, {""id"": ""IAB20-11"", ""name"": ""Caribbean"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB20-11""}}]","[{""id"": 943, ""name"": ""Business Office Management"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/943""}}, {""id"": 741, ""name"": ""Office Items"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/741""}}, {""id"": 317, ""name"": ""Exam Preparation"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/317""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 644, ""name"": ""Printed Material"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/644""}}, {""id"": 875, ""name"": ""Protection Products"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/875""}}, {""id"": 327, ""name"": ""Mining and production of coal"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/327""}}]",,,es,0.05,positive,0.07,positive,0.04,positive,"En su primer día, «Si antes te hubiera conocido» registró más de 3 millones de reproducciones, debutando en la posición número 27 del ranking global de Spotify. Este impresionante arranque ha continuado en los días siguientes, elevando la canción al top 20 global, con más de 4. Este logro convierte a Karol G en la única artista latina en alcanzar el top 20 global de Spotify en esta semana, destacando no solo su popularidad sino también la influencia de la música latina en el escenario internacional. Su éxito refleja un momento significativo para la representación de artistas latinos y femeninas en la industria musical global. Los campos obligatorios están marcados con *Comentario * Nombre * Correo electrónico * Web Guarda mi nombre, correo electrónico y web en este navegador para la próxima vez que comente."
3023072506,2024-12-05T20:12:07Z,"Spotify ""Wrapped"": cómo selecciona tus temas más escuchados...[Upgrade subscription plan]","Spotify ""Wrapped"": cómo selecciona tus temas más escuchados -. . ....[Upgrade subscription plan]","Spotify ""Wrapped"": cómo selecciona tus temas más escuchados - Panorama MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Vir...[+4796 chars]...[Upgrade subscription plan]","[{""id"": ""IAB1"", ""name"": ""Arts & Entertainment"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB1""}}, {""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}]","[{""id"": 943, ""name"": ""Business Office Management"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/943""}}, {""id"": 741, ""name"": ""Office Items"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/741""}}, {""id"": 74, ""name"": ""Livestock production"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/74""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 434, ""name"": ""Brokerage Options in the"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/434""}}, {""id"": 1198, ""name"": ""Unmanned Aerial Delivery"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1198""}}]",,,es,0.01,neutral,0,neutral,0.02,positive,"-Ha llegado esa época del año: Spotify reveló su resumen anual Wrapped, recopilaciones personalizadas de los hábitos de escucha de los usuarios y su año en audio. Spotify afirmó que su Wrapped de 2023 fue el «más grande jamás creado», en términos de alcance de audiencia y el tipo de datos que proporcionó. Ahora puedes unirte a nuestro canal y recibir noticias al instante por WhatsApp Entonces, ¿qué nos depara 2024? Es el resumen anual del servicio de streaming sobre las tendencias de escucha individuales, así como las tendencias globales. Los usuarios descubren sus artistas, canciones, géneros, álbumes y podcasts más escuchados, todo integrado en una presentación interactiva."
3023072595,2024-12-05T20:12:07Z,"Spotify ""Wrapped"": cómo selecciona tus temas más escuchados...[Upgrade subscription plan]","Spotify ""Wrapped"": cómo selecciona tus temas más escuchados -. . ....[Upgrade subscription plan]","Spotify ""Wrapped"": cómo selecciona tus temas más escuchados - Panorama MENÚ Nacionales nacionales Gobierno Justicia Internacionales Impreso Política Reportajes Entretenimiento Entretenimiento Vir...[+4796 chars]...[Upgrade subscription plan]","[{""id"": ""IAB1"", ""name"": ""Arts & Entertainment"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB1""}}, {""id"": ""IAB23-4"", ""name"": ""Catholicism"", ""score"": 0.2, ""taxonomy"": ""iab-qag"", ""links"": {""self"": ""https://api.apitube.io/v1/news/category/iab-qag/IAB23-4""}}]","[{""id"": 943, ""name"": ""Business Office Management"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/943""}}, {""id"": 741, ""name"": ""Office Items"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/741""}}, {""id"": 74, ""name"": ""Livestock production"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/74""}}, {""id"": 676, ""name"": ""Property Casualty Insurance"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/676""}}, {""id"": 1023, ""name"": ""Maintenance Services"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1023""}}, {""id"": 1085, ""name"": ""Fitness Sports"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1085""}}, {""id"": 434, ""name"": ""Brokerage Options in the"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/434""}}, {""id"": 1198, ""name"": ""Unmanned Aerial Delivery"", ""links"": {""self"": ""https://api.apitube.io/v1/news/industry/1198""}}]",,,es,0.01,neutral,0,neutral,0.02,positive,"-Ha llegado esa época del año: Spotify reveló su resumen anual Wrapped, recopilaciones personalizadas de los hábitos de escucha de los usuarios y su año en audio. Spotify afirmó que su Wrapped de 2023 fue el «más grande jamás creado», en términos de alcance de audiencia y el tipo de datos que proporcionó. Ahora puedes unirte a nuestro canal y recibir noticias al instante por WhatsApp Entonces, ¿qué nos depara 2024? Es el resumen anual del servicio de streaming sobre las tendencias de escucha individuales, así como las tendencias globales. Los usuarios descubren sus artistas, canciones, géneros, álbumes y podcasts más escuchados, todo integrado en una presentación interactiva."
