category,datetime,headline,id,image,related,source,summary,url,date
company,1727736300,Hartford International Growth Fund Q2 2024 Commentary,130150767,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1487894859/image_1487894859.jpg?io=getty-c-w1536,SPOT,SeekingAlpha,"The Hartford International Growth Fund (I Share) underperformed the MSCI ACWI ex USA
Growth Index during the second quarter of 2024. Click here to read the full commentary.",https://finnhub.io/api/news?id=389b71283fa9343165660c8b2a343f1da021331d525f953136897cf8b2080b18,2024-09-30
company,1727705332,Spotify Recovers After 3-Hour Outage Impacting Thousands of Users,130152882,https://media.zenfs.com/en/Benzinga/8ade71e4c29b2434cb95621a658c4b7e,SPOT,Yahoo,"Spotify Technology SA (NYSE:SPOT) recovered from a close to three-hour-long outage on Sunday. Over 40,000 users reported service disruption at 9:30 pm ET on Sunday, as per Downdetector. Spotify acknowledged the issue and wrote on X, ""We're aware of some issues right now and are checking them out!"" At 11:06 pm ET, Spotify said, ""Everything's looking much better now!"" Everything's looking much better now! Give@SpotifyCares a shout if you still need help. — Spotify Status (@SpotifyStatus) September",https://finnhub.io/api/news?id=91b1e7d3c095ed17dc5ed3b2a86b26fc3ecd034df9a6a0c989c39b6c3ee293f9,2024-09-30
company,1727691005,Spotify Technology S A : Listeners Around the World Are Embracing French-Language Content on Spotify,130137482,,SPOT,Finnhub,"Across music, podcasts, and audiobooks, Spotify listeners are turning toward French-language content. In fact, more than 100 million users worldwide listened to at least one piece of audio content in...",https://finnhub.io/api/news?id=30d456c2f565bb914f9fdc60ab623c6f4c41f33355b39895f26cd62c076862ae,2024-09-30
company,1727676300,Spotify’s Robust Business Outlook and Growth Catalysts Justify a Buy Rating,130139690,,SPOT,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=46c57767e4c70ffacac9be6a7bde5804784f54f5732433a4b5dde77840392805,2024-09-30
company,1727666520,This Is What Whales Are Betting On Spotify Technology,130161721,,SPOT,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1a4bf72db11a05ba158fec3e083ef5f7d3af008cc2e1dc5fd8dab8cc4c502919,2024-09-30
company,1727662680,"Noteworthy Monday Option Activity: SPOT, FIVE, PWSC",130161722,,SPOT,Stock Options Channel,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6cce41547248328ff870f844a7a7e3d1e2afec8c20b281ffd4809b1a695b0f7d,2024-09-30
company,1727632413,Music streaming site Spotify temporarily goes down,130130297,https://s.yimg.com/ny/api/res/1.2/vKbmN7RE1X9RSzDCegLEVA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTY-/https://media.zenfs.com/en/ap_finance_articles_694/391c1fffd6dc8f9b107f8d7d32b62d4b,SPOT,Yahoo,"The music streaming service Spotify was down temporarily on Sunday, leaving thousands of listeners without access to tunes and podcasts.  More than 40,000 people reported outages with the music platform on downdetector.com, a website that allows users to report problems with popular apps and services.  Responding to the post, Spotify users complained about the outage disrupting workout routines and plans to stream a playlist at a child's birthday party.",https://finnhub.io/api/news?id=770d67cd1f2fd94be31402fed5b6da5f2e54b941995c74e06305afa746c0828e,2024-09-29
company,1727626773,"Spotify back up after outage hits over 40,000 users",130132655,https://media.zenfs.com/en/reuters-finance.com/d621225956cb7d51e09c63ae9a473d5d,SPOT,Yahoo,"""Everything's looking much better now!"" Spotify said in a post on social media platform X.  Spotify did not immediately respond to a Reuters' request for comment seeking the reason behind the outage.",https://finnhub.io/api/news?id=2a301e4c7f38a81d7709a7ae77119e40eaef3f4e4cbae4a4fa9ed5c19b7a767a,2024-09-29
company,1727617980,"Missing a beat, streaming service Spotify is back after a temporary outage",130139691,,SPOT,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4e406d8363cdefd3e0273a42132175dd1a71290d5a739f0e4c99eb2c68be3387,2024-09-29
company,1727612373,"Spotify down for over 40,000 users in the US, Downdetector says",130129512,,SPOT,Finnhub,"Audio streaming platform Spotify was down for thousands of users on Sunday, according to outage tracking website Downdetector.com. Downdetector, which tracks outages through a range of...",https://finnhub.io/api/news?id=24e69e172568c479086225d524809e2643e06a9eceee3d7e2c96ad643fbfd135,2024-09-29
company,1727600580,"Consumer Tech News (Sept 23- Sept 27): OpenAI pitched President Biden For Expansion Of Data Centers, Apple Discontinued iPhone 15 And 13 Models & More",130129637,,SPOT,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=df7aee9e4bb2d72dac70095b2e092138c6ee93b5aabccae1a6d709fecdd22521,2024-09-29
company,1727578500,Spotify restores service after brief outage affecting 40K users in US,130139692,,SPOT,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=89ec03234ce1cef52f8c836157355a12d9684fb0945d720f944fbdc4670ad7a5,2024-09-29
company,1727384400,Spotify Technology S.A. to Announce Financial Results for Third Quarter 2024,130094819,https://s.yimg.com/ny/api/res/1.2/JWeVPL6YzH7nLrLFUeBglg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD0zMjk-/https://media.zenfs.com/en/business-wire.com/e4ae0d7c3a7377e476e17d65301f9339,SPOT,Yahoo,"NEW YORK, September 26, 2024--Spotify Technology S.A. (NYSE: SPOT) will post its third quarter 2024 financial results and deck to shareholders on Tuesday, November 12, 2024 after market close.",https://finnhub.io/api/news?id=1ddd06e343b2352eb93338a99b8d840f7ab292e35d3c2ee3b03fefd8c78a85e7,2024-09-26
company,1727348665,High Insider Ownership Growth Stocks In US For September 2024,130071244,https://media.zenfs.com/en/simply_wall_st__316/41bdd0c670f621394929d5266c5d6c72,SPOT,Yahoo,"As of late September 2024, the U.S. stock market has seen a pullback from recent record highs, with the S&P 500 and Dow Jones Industrial Average closing lower amid investor caution ahead of key economic data releases. This environment underscores the importance of identifying growth companies with high insider ownership, as these stocks often signal strong confidence from those closest to the business. In such a climate, understanding what makes a good stock is crucial. Companies that...",https://finnhub.io/api/news?id=53f4fd4c9aaa0924810aefedbedf3c349eff7031921a4bdc377366c1ee264179,2024-09-26
company,1727344740,November 8th Options Now Available For Spotify Technology (SPOT),130085838,,SPOT,Stock Options Channel,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ac1dbb438998bf98d0bfea30b021d2b420291390eaa8cc0b0ceaf84ba068fafe,2024-09-26
company,1727341200,Here’s what to tell Spotify’s new AI playlist builder to get the best soundtrack for any occasion,130074782,,SPOT,Yahoo,"With Spotify’s AI-powered playlist creator, it can help to get specific, but not too specific.",https://finnhub.io/api/news?id=9d4f838698939ace2e086b2989b883923f24c47345acb3db9fdb02a76a9f68f8,2024-09-26
company,1727334360,Wall Street More Bullish On Meta AI Following Connect Event,130103390,,SPOT,TalkMarkets,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=20dc676bf8281244a6ff9c3daa2a3ff4be3f22038f52b96362c565b9a984c772,2024-09-26
