open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
584.25,609.92,580.0,608.01,4531895.0,609.92,580.0,608.01,584.25,4531895.0,1.0,0.0,SPOT,XNYS,2025-02-28
611.0,613.0,586.0,590.76,1191837.0,613.0,586.0,590.76,611.0,1191837.0,1.0,0.0,SPOT,XNYS,2025-02-27
595.62,608.5294,592.89,603.13,2629946.0,608.5294,592.89,603.13,595.62,2629946.0,1.0,0.0,SPOT,XNYS,2025-02-26
597.22,599.12,575.535,588.57,2822820.0,599.12,575.535,588.57,597.22,2822820.0,1.0,0.0,SPOT,XNYS,2025-02-25
612.3,621.91,592.98,601.61,2078629.0,621.91,592.98,601.61,612.3,2078629.0,1.0,0.0,SPOT,XNYS,2025-02-24
636.37,639.012,605.557,607.38,2198670.0,639.012,605.557,607.38,636.37,2198670.0,1.0,0.0,SPOT,XNYS,2025-02-21
635.5,638.79,615.15,636.77,1907651.0,638.79,615.15,636.77,635.5,1907651.0,1.0,0.0,SPOT,XNYS,2025-02-20
638.0,643.0,624.25,642.73,1474374.0,643.0,624.25,642.73,638.0,1474374.0,1.0,0.0,SPOT,XNYS,2025-02-19
639.04,646.98,625.64,630.56,1934356.0,646.98,625.64,630.56,639.04,1934356.0,1.0,0.0,SPOT,XNYS,2025-02-18
643.76,648.0,626.1,638.18,2120601.0,648.0,626.1,638.18,643.76,2120601.0,1.0,0.0,SPOT,XNYS,2025-02-14
647.12,652.6279,640.05,648.32,1630535.0,652.6279,640.05,648.32,647.12,1630535.0,1.0,0.0,SPOT,XNYS,2025-02-13
626.56,648.2723,623.71,640.59,1804749.0,648.2723,623.71,640.59,626.56,1804749.0,1.0,0.0,SPOT,XNYS,2025-02-12
628.0,635.45,619.002,623.15,1662124.0,635.45,619.002,623.15,628.0,1662124.0,1.0,0.0,SPOT,XNYS,2025-02-11
629.59,642.27,621.23,637.69,2133450.0,642.27,621.23,637.69,629.59,2133450.0,1.0,0.0,SPOT,XNYS,2025-02-10
628.37,632.45,620.69,622.99,2318501.0,632.45,620.69,622.99,628.37,2318501.0,1.0,0.0,SPOT,XNYS,2025-02-07
628.5,628.5,618.01,625.87,1857088.0,628.5,618.01,625.87,628.5,1857088.0,1.0,0.0,SPOT,XNYS,2025-02-06
608.85,630.77,607.3,626.0,4609123.0,630.77,607.3,626.0,608.85,4609123.0,1.0,0.0,SPOT,XNYS,2025-02-05
595.99,623.4,581.07,621.77,6757342.0,623.4,581.07,621.77,595.99,6757342.0,1.0,0.0,SPOT,XNYS,2025-02-04
538.92,554.6958,534.8937,549.08,2536322.0,554.6958,534.8937,549.08,538.92,2536322.0,1.0,0.0,SPOT,XNYS,2025-02-03
550.0,560.36,546.56,548.55,1562330.0,560.36,546.56,548.55,550.0,1562330.0,1.0,0.0,SPOT,XNYS,2025-01-31
544.0,558.31,541.585,550.13,2045476.0,558.31,541.585,550.13,544.0,2045476.0,1.0,0.0,SPOT,XNYS,2025-01-30
529.97,543.86,528.19,538.83,1902110.0,543.86,528.19,538.83,529.97,1902110.0,1.0,0.0,SPOT,XNYS,2025-01-29
518.0,536.995,510.7189,530.8,2243645.0,536.995,510.7189,530.8,518.0,2243645.0,1.0,0.0,SPOT,XNYS,2025-01-28
495.11,516.5829,488.04,513.98,2445419.0,516.5829,488.04,513.98,495.11,2445419.0,1.0,0.0,SPOT,XNYS,2025-01-27
507.82,512.01,501.475,510.43,1778329.0,512.01,501.475,510.43,507.82,1778329.0,1.0,0.0,SPOT,XNYS,2025-01-24
490.0,501.61,488.002,501.5,892706.0,501.61,488.002,501.5,490.0,892706.0,1.0,0.0,SPOT,XNYS,2025-01-23
509.0,510.84,493.03,493.56,1867070.0,510.84,493.03,493.56,509.0,1867070.0,1.0,0.0,SPOT,XNYS,2025-01-22
497.36,500.86,476.52,487.51,2133343.0,500.86,476.52,487.51,497.36,2133343.0,1.0,0.0,SPOT,XNYS,2025-01-21
487.0,490.78,480.005,485.53,2021656.0,490.78,480.005,485.53,487.0,2021656.0,1.0,0.0,SPOT,XNYS,2025-01-17
490.81,500.48,488.23,490.34,1376902.0,500.48,488.23,490.34,490.81,1376902.0,1.0,0.0,SPOT,XNYS,2025-01-16
476.12,492.18,476.06,490.69,2053740.0,492.18,476.06,490.69,476.12,2053740.0,1.0,0.0,SPOT,XNYS,2025-01-15
463.39,469.39,460.33,463.59,1140718.0,469.39,460.33,463.59,463.39,1140718.0,1.0,0.0,SPOT,XNYS,2025-01-14
452.43,463.5,451.4284,458.54,1345100.0,463.5,451.4284,458.54,452.43,1345100.0,1.0,0.0,SPOT,XNYS,2025-01-13
476.0,479.43,456.25,459.53,2966474.0,479.43,456.25,459.53,476.0,2966474.0,1.0,0.0,SPOT,XNYS,2025-01-10
462.71,482.0599,460.93,479.73,2154777.0,482.0599,460.93,479.73,462.71,2154777.0,1.0,0.0,SPOT,XNYS,2025-01-08
472.0,472.97,454.7133,463.93,1261128.0,472.97,454.7133,463.93,472.0,1261128.0,1.0,0.0,SPOT,XNYS,2025-01-07
469.44,474.3134,460.6001,468.93,1752124.0,474.3134,460.6001,468.93,469.44,1752124.0,1.0,0.0,SPOT,XNYS,2025-01-06
459.95,472.8,459.5,466.69,1185911.0,472.8,459.5,466.69,459.95,1185911.0,1.0,0.0,SPOT,XNYS,2025-01-03
450.58,460.27,443.21,457.79,1092708.0,460.27,443.21,457.79,450.58,1092708.0,1.0,0.0,SPOT,XNYS,2025-01-02
451.76,453.11,446.21,447.38,763812.0,453.11,446.21,447.38,451.76,763812.0,1.0,0.0,SPOT,XNYS,2024-12-31
450.0,455.17,444.85,451.79,1604819.0,455.17,444.85,451.79,450.0,1604819.0,1.0,0.0,SPOT,XNYS,2024-12-30
456.12,459.0,449.495,456.48,963814.0,459.0,449.495,456.48,456.12,963814.0,1.0,0.0,SPOT,XNYS,2024-12-27
458.0,460.91,455.28,457.98,1146080.0,460.91,455.28,457.98,458.0,1146080.0,1.0,0.0,SPOT,XNYS,2024-12-26
456.82,462.69,455.9,461.64,522347.0,462.69,455.9,461.64,456.82,522347.0,1.0,0.0,SPOT,XNYS,2024-12-24
462.0,462.5,451.0,456.29,1659292.0,462.5,451.0,456.29,462.0,1659292.0,1.0,0.0,SPOT,XNYS,2024-12-23
445.27,464.465,444.17,460.88,1834616.0,464.465,444.17,460.88,445.27,1834616.0,1.0,0.0,SPOT,XNYS,2024-12-20
453.92,460.78,450.01,454.16,1858703.0,460.78,450.01,454.16,453.92,1858703.0,1.0,0.0,SPOT,XNYS,2024-12-19
479.5,482.67,446.78,448.65,3386824.0,482.67,446.78,448.65,479.5,3386824.0,1.0,0.0,SPOT,XNYS,2024-12-18
479.91,483.82,471.7001,474.37,1915549.0,483.82,471.7001,474.37,479.91,1915549.0,1.0,0.0,SPOT,XNYS,2024-12-17
483.04,490.665,481.742,484.9,1398768.0,490.665,481.742,484.9,483.04,1398768.0,1.0,0.0,SPOT,XNYS,2024-12-16
479.585,484.6,474.54,483.31,1432067.0,484.6,474.54,483.31,479.585,1432067.0,1.0,0.0,SPOT,XNYS,2024-12-13
477.0,487.8199,475.0,480.11,1607411.0,487.8199,475.0,480.11,477.0,1607411.0,1.0,0.0,SPOT,XNYS,2024-12-12
474.98,478.94,469.505,476.91,1948991.0,478.94,469.505,476.91,474.98,1948991.0,1.0,0.0,SPOT,XNYS,2024-12-11
