rank;artist_names;track_name;previous_rank;peak_rank;weeks_on_chart
1;Jimin;Who;1;1;2
2;Billie Eilish;Birds OF A Feather ;3;2;11
3;Sabrina Carpenter;Espresso;2;1;16
4;Shaboozey;A Bar Song (Tipsy);4;3;16
5;Kendrick Lamar;Not Like Us;5;1;13
6;Sabrina Carpenter;Please Please;6;1;8
7;Post Malone,Morgan Wallen;I Had Some Help;8;1;12
8;Benson Boone;Beautiful Things;7;1;28
9;Karol G;Si Antes Te Hubiera Conocido;12;9;6
10;Chappel Roan;Good Luck, Babe!;11;10;16
11;FloyyMenor, Cris Mj;Gata Only;9;4;25
12;Hozier;Too Sweet ;14;1;19
13;Teddy Swims ;Lose Control;15;4;46
14;Tommy Richman;Million Dollar Baby;13;1;14
15;Sevdaliza,Pabllo Vitta, Yseult;Alibi;16;15;5
16;Myles Smith;Stargazing ;18;16;12
17;Eminem;Houdini;17;1;9
18;*NSYNC;Bye Bye Bye;;18;1
19;Stray Kids;Chk Chk Boom;10;10;2
20;Taylor Swift, Post Malone;Fortnight;19;1;15
21;Taylor Swift;Cruel Summer;20;1;72
22;Post Malone, Luke Combs;Guy For That ;;22;1
23;Dasha;Austin;22;16;21
24;Artemas;I Like The Way You Kiss Me;21;2;19
25;Adam Por, Stryv, Malachiii;Move;27;25;7
26;Ariana Grande ;We Can't Be Friens (Wait For Your Love;25;1;21
27;Zach Bryan;Pink Skies;24;16;10
28;Morgan Wallen ;Lies Lies Lies ;23;14;4
29;Billie Eilish;Lunch;28;4;11
30;Ice Spice, Central Cee;Did It First;46;30;3
31;Harry Styles;As It Was;26;1;122
32;David Gutte, OneRepublic;I Don't Wanna Wait;36;29;17
33;Megan Thee Stallion, Yuki Chiba;Mamushi;29;29;4
34;Mark Ambor;Belong Together;30;21;18
35;Billie Eilish;Chihiro;33;6;11
36;Luke Combs;Ain't No Love In Oklahoma;35;35;9
37;Travis Scott, Playboi Carti;FE!N;55;3;43
38;Djo;End Of Beginning;38;3;24
39;Charli xcx;360;59;39;8
40;Chappel Roan;Hot To Go!;42;40;7
41;Noah Kahan;Stick Season;40;5;43
42;Central Cee, Lil Baby;BAND4BAND;37;12;10
43;LISA;Rockstar;31;4;5
44;Coldplay;Viva La Vida;43;43;102
45;Zach Bryan, Kacey Musgraves;I Remember Everything;49;4;49
46;Feid, ATL Jacob;Luna;41;12;34
47;Miley Cyrus;Flowers;44;1;81
48;Lord Huron;The Night We Met;45;45;55
49;Benson Boone;Slow It Down;48;23;19
50;The Weeknd, Jennie, Lily-Rose Depp;One Of The Girls;50;10;41
51;The Neighbourhood ;Sweater Weather ;52;25;201
52;The Weeknd, Ariana Grande;Save Your Tears;53;1;187
53;Trueno ;Real Gangsta Love;39;22;8
54;Zach Bryan;28;32;25;4
55;Future, Metro Boomin, Kendrick Lamar;Like That;47;1;19
56;Taylor Swift;I Can Do It With A Broken Heart;34;5;15
57;Jordan Adetunji;Kehlani;57;57;6
58;Goo Goo Dolls;Iris;92;58;48
59;Hanumankind, Kalmi;Big Dawgs;;59;1
60;Billie Eilish;Wildflower;81;15;11
61;ILLIT;Magnetic ;54;6;19
62;mgk & Jelly Roll;Lonely Road;;62;1
63;Marshmello, Kane Brown;Miles On it;56;55;13
64;Charli xcx;Apple;101;64;2
65;Tom Odell;Another Love;64;14;170
66;Luis R Conriquez, Neton Vega;Si No Quieres No;61;34;16
67;Tate McRae;Greedy;68;1;46
68;CYRIL;Stumblin' In;66;61;20
69;Morgan Wallen, ERNEST;Cowgirls;65;47;15
70;Journey;Don't Stop Believin';73;65;135
71;aespa;Supernova;67;17;12
72;Rvssian, Rauw Alejandro, Ayra Starr;Santa;63;24;15
73;Blessd, Ovy On The Drums;Mirame;58;58;5
74;Jung Kook, Latto;Seven;69;1;55
75;Morgan Wallen;Last Night;79;5;79
76;Teddy Swims;The Door;119;76;12
77;The Weeknd  Ariana Grande;Die For You;77;2;126
78;SZA;Snooze;75;6;86
79;The Weeknd;Blinding Lights;74;2;204
80;a-ha;Take On Me;70;70;144
81;NewJeans;Supernatural;62;25;6
82;Kapo;Ohnana;112;82;2
83;The Kid LAROI;Nights Like This;72;56;6
84;Zach Bryan;Something In The Orange;85;23;118
85;Cris Mj;Si No Es Contigo;82;53;10
86;Tommy Richman;Devil Is A Lie;71;37;7
87;Lewis Capaldi;Someone You Loved;86;24;204
88;Quavo, Lana Del Rey;Tough;51;21;4
89;David Guetta, Bebe Rexha;I'm Good (Blue);90;2;101
90;Chappel Roan;Pink Pony Club;142;90;5
91;SZA;Saturn ;87;5;23
92;KISS OF LIFE;Sticky;91;87;4
93;Koe Wetzel, Jessie Murph;High Road;76;72;8
94;NewJeans;How Sweet;88;15;10
95;Natasha Bedingfield;Unwritten;99;20;29
96;Peso Pluma, Neton Vega;La Patrulla;155;96;6
97;Karol G, Peso Pluma;Qlona;100;7;51
98;Post Malone,Blake Shelton;Pour Me A Drink;114;18;6
99;J Abdiel, iZaak;WYA;93;93;6
100;Karol G;Amargura;113;71;59
101;Post Malone, Swae Lee;Sunflower (Spider-Man: Into The Spider-Verse);102;20;204
102;Arctic Monkeys;I Wanna Be Yours;103;55;100
103;Future, Metro Boomin, Travis Scott, Playboi Carti;Type Shit;96;6;19
104;Chappel Roan;Red Wine Supernova;95;6;19
105;SZA;Kill Bill;105;1;86
106;Sabrina Carpenter;Feather;89;43;34
107;The Chainsmokers, Coldplay;Something Just Like This;97;97;162
108;Manuel Turizo;La Bachata;111;6;105
109;Linkin Park;In The End;94;94;54
110;Tyler, The Creator, Kali Uchis;See You Again;110;35;60
111;Fleetwood Mac;Dreams;122;10;174
112;Vance Joy;Riptide;108;53;147
113;Michael Marcagi;Scared To Start;104;35;27
114;Karan Aujla;"Tauba Tauba (From ""Bad Newz"")";84;68;4
115;Luke Combs;Fast Car;127;18;71
116;Lana Del Rey, Cedric Gervais;Summertime Sadness;109;73;104
117;Tyla;Water;124;6;46
118;The Weeknd, Daft Punk;Starboy;129;34;161
119;Hozier;Take Me To Church;132;110;174
120;Tears For Fears;Everybody Wants To Rule The World;98;81;104
121;Ed Sheeran;Perfect;117;30;204
122;Rema, Selena Gomez;Calm Down;115;3;109
123;Coldplay;Yellow;116;68;172
124;Dua Lipa;Training Season;107;6;24
125;Eminem;Without Me;121;39;147
126;Richy Mitch And The Coal Miners;Evergreen;170;107;22
127;Disturbed;The Sound Of Silence (CYRIL Remix);126;93;17
128;The Kid LAROI,  Justin Bieber;Stay;133;1;160
129;Creedence Clearwater Revival;Have You Ever Seen The Rain;118;99;41
130;Ariana Grande, Brandy, Monica;The Boy Is Mine;83;11;15
131;Dua Lipa;Levitating;136;2;198
132;Stephen Sanchez;Until I Found You;131;11;116
133;Coldplay;A Sky Full Of Stars;141;133;17
134;Taylor Swift;August;;46;21
135;Imagine Dragons;Believer;137;52;204
136;Sabrina Carpenter;Nonsense;128;36;57
137;Ella Langley, Riley Green;You Look Like You Love Me;140;89;6
138;Jaxomy, Agatino Romero, Raffaella Carra;Pedro;106;37;16
139;Glass Animals;Heat Waves;125;1;186
140;The Killers;Mr. Brightside;148;92;103
141;OneRepublic;Counting Stars;144;79;175
142;The Police;Every Breath You Take;130;96;104
143;Morgan Wallen;Thinkin' Bout Me;156;21;74
144;AC/DC;Thunderstruck;149;144;84
145;Beyonce;Texas Hold 'Em;120;1;25
146;The Outfield;Your Love;147;142;16
147;Dua Lipa;Houdini;135;3;38
148;Shakira, Wyclef Jean;Hips Don't Lie;134;134;7
149;French Montana, Swae Lee;Unforgettable;152;133;23
150;taylor Swift;Lover;153;40;71
151;aespa;Armageddon;143;28;10
152;OneRepublic;I Ain't Worried;168;5;113
153;Coolio, L.V.;Gangsta's Paradise;151;21;120
154;Billie Eilish, Khalid;Lovely;172;70;201
155;Alphaville;Forever Young;;155;1
156;Hotel Ugly;Shut Up My Moms Calling;160;64;86
157;Ed Sheeran;Shape Of You;154;55;203
158;Luke Combs;Where The Wild Things Are;154;55;203
159;Frank Ocean;Pink + White;165;96;52
160;Feid;Sorry 4 That Much;150;56;8
161;Don Omar, Lucenzo;Danza Kuduro;173;140;15
162;Radiohead;Creep;175;56;51
163;Billie Eilish;What Was I Made For?;171;2;55
164;David Kushner;Daylight;180;11;68
165;Billie Eilish;L'amour De Ma Vie;164;17;11
166;Doja Cat;Paint The Town Red;167;1;52
167;Elton John, Dua Lipa;Cold Heart (PNAU Remix);163;3;155
168;Mrs. GREEN APPLE;Lilac;185;119;5
169;Taylor Swift;Anti-Hero;174;1;93
170;Creepy Nuts;Bling-Bang-Bang-Born;158;8;29
171;Tinashe;Nasty;146;84;8
172;Mitski;My Love Mine All Mine;192;84;8
173;Eurythmics;Sweet Dreams (Are Made Of This);186;173;8
174;Pinkfong;Baby Shark;191;38;191
175;Drake, WizKid, Kyla;One Dance;0;107;29
176;Harry Styles;Watermelon Sugar;145;9;174
177;Michael Jackson;Billie Jean;199;137;56
178;Grupo Frontera, Grupo Firme;El Amor de Su Vida;169;38;44
179;Earth, Wind & Fire;September;178;102;20
180;Travis Scott;Highest In The Room;0;83;38
181;Madonna;Like A Prayer;0;181;1
182;James Arthur;Say You Won't Let Go;197;96;90
183;Toto;Africa;176;174;11
184;CoComelon;Wheels On The Bus;196;173;8
185;Guns N' Roses;Sweet Child O' Mine;182;57;151
186;Macklemore, Ryan Lewis, Ray Dalton;Can't Hold Us;183;133;82
187;Kendrick Lamar;Humble.;179;85;16
188;FloyyMenor, Lewis Somes;Apaga El Cel;166;166;3
189;Gunna;Fukumean;188;6;49
190;Travis Scott;Goosebumps;0;102;74
191;Eminem, Big Sean, BabyTron;Tobey;80;23;4
192;Keane;Somewhere Only We Know;177;120;32
193;Coldplay;The Scientist;0;184;3
194;Miguel;Sure Thing;0;13;66
195;Karol G;Mi Ex Tenia Razon;0;13;32
196;Dominic Fike;Misses;0;196;1
197;Eminem;Mockingbird;189;42;86
198;Rihanna, Calvin Harris;We Found Love;0;47;35
199;Myke Towers;La Falda;193;54;17
200;Jack Harlow;Lovin On Me;190;1;38
