category,datetime,headline,id,image,related,source,summary,url,date
company,1717187839,Music Streamer Spotify Seen Cranking Up Profits This Year,128020712,https://media.zenfs.com/en/ibd.com/a70cdb6742a662cb1b22c1fcd663dac0,SPOT,Yahoo,"Spotify stock has room to run higher this year as the streaming music leader shows improved profitability, a Wall Street analyst says.",https://finnhub.io/api/news?id=bf89dad00a79033f1c3693718489d24c0a18f4efeaa27cd26e40def9013063a4,2024-05-31
company,1717177331,Spotify Technology S A : How Spotify is Protecting Election Integrity in 2024,128012690,,SPOT,Finnhub,"Dustee Jenkins, Chief Public Affairs Officer, Spotify With billions of people from over 50 countries heading to the polls to cast their vote, 2024 is shaping up to be the largest election year in...",https://finnhub.io/api/news?id=551072e25257c8c454809b6110f02d3932dcb4e1f1b9e4b04f527e9a88b08904,2024-05-31
company,1717158060,"Spotify To Refund Car Thing Owners Before Disabling Devices in December, But You'll Need A Receipt",128008230,,SPOT,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cfae6ef2b677b19b94c1865ed2b3b99949ef3a5ef547df76dbee9c62a7d65a17,2024-05-31
company,1717118940,The Growth Stock Reckoning: 3 Stocks to Sell Before the Bubble Bursts,128008231,,SPOT,InvestorPlace,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c9fa07d6fe86d1c747004d6b57d4a986168d1b8dd1d053895138387a3608b45d,2024-05-31
company,1717099004,Spotify offers Car Thing refunds as it faces lawsuit over bricking the streaming device,127985008,"https://techcrunch.com/wp-content/uploads/2021/04/Car-Thing-Front-Zoom-2.jpg?resize=1200,900",SPOT,Yahoo,"Spotify is facing continued backlash over its decision to discontinue support for Car Thing, its in-car streaming device, announced earlier in May. The device will no longer work starting on Dec. 9, 2024, the company said. On TikTok, Gen Z users are posting videos to express their discontent with Spotify's move and its recommended actions — like switching to Android Auto or CarPlay. Often, they didn't have access to built-in infotainment systems in their car in the first place, making them a tar",https://finnhub.io/api/news?id=7f028ebed1bbb76aec7f1e1188621bdac2da212cd178dfe3e3fd41a8f6d7bbd5,2024-05-30
company,1717086004,Surging Earnings Estimates Signal Upside for Spotify (SPOT) Stock,127985009,https://media.zenfs.com/en/zacks.com/d0d4ab152198da2f423d92da8a7d22ee,SPOT,Yahoo,"Spotify (SPOT) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",https://finnhub.io/api/news?id=d458d2e894a14876d263ff4ecb71d5ab43117f17f14adbe7f0e533c5e311aa96,2024-05-30
company,1717038300,Behind the Scenes of Spotify Technology's Latest Options Trends,127982230,,SPOT,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7e2e0ec48e1ddd3a16cfcdf80f581200e84209df0c1358dbc59fd5d926a00d7b,2024-05-30
company,1717019118,Spotify (SPOT) Dips More Than Broader Market: What You Should Know,127966759,https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781,SPOT,Yahoo,"Spotify (SPOT) closed at $307.52 in the latest trading session, marking a -0.89% move from the prior day.",https://finnhub.io/api/news?id=8cb582b0262616a036b806508eb8147bf690b8e277ed46439e71b06b9710da39,2024-05-29
company,1716990583,Spotify Profit Push Emboldens Bulls and Spurs Record Win Streak,127968473,https://media.zenfs.com/en/bloomberg_technology_68/17c87080e436ac89ef6b58985950513b,SPOT,Yahoo,"(Bloomberg) -- It’s been less than a year since Spotify Technology SA raised prices on its US premium plans for the first time, and investors who bought into Chief Executive Officer Daniel Ek’s strategy have been rewarded with a roughly 80% jump in the stock. Most Read from BloombergWorld’s Largest Nuclear Plant Sits Idle While Energy Needs SoarWarning Signals Are Flashing for Homeowners in Texas and Florida‘Not Gonna Be Pretty:’ Covid-Era Homebuyers Face Huge Rate JumpNew BYD Hybrid Can Drive N",https://finnhub.io/api/news?id=7c03dd540590eb2b7a4dbe35c512c2baf4ad49ac956cfc2b5f8e2ad810ef1335,2024-05-29
company,1716985980,3 Growth Stocks That Could 10X Your Money Over the Next Decade,127959230,,SPOT,InvestorPlace,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f2da3b7414035c2c49b65db5fe9035f05e8153b021793231b0689f5b77bad349,2024-05-29
