;;;;;;
;Quartal;Number of Paying Subscribers (in Millions);;;;
;Q1 2015;18;;;;
;Q2 2015;22;;;;
;Q3 2015;24;;;;
;Q4 2015;28;;;;
;Q1 2016;30;;;;
;Q2 2016;36;;;;
;Q3 2016;40;;;;
;Q4 2016;48;;;;
;Q1 2017;52;;;;
;Q2 2017;59;;;;
;Q3 2017;62;;;;
;Q4 2017;71;;;;
;Q1 2018;75;;;;
;Q2 2018;83;;;;
;Q3 2018;87;;;;
;Q4 2018;96;;;;
;Q1 2019;100;;;;
;Q2 2019;108;;;;
;Q3 2019;113;;;;
;Q4 2019;124;;;;
;Q1 2020;130;;;;
;Q2 2020;138;;;;
;Q3 2020;144;;;;
;Q4 2020;155;;;;
;Q1 2021;158;;;;
;Q2 2021;165;;;;
;Q3 2021;172;;;;
;Q4 2021;180;;;;
;Q1 2022;182;;;;
;Q2 2022;188;;;;
;Q3 2022;195;;;;
;Q4 2022;205;;;;
;Q1 2023;210;;;;
;Q2 2023;220;;;;
;Q3 2023;226;;;;
;Q4 2023;236;;;;
;Q1 2024;239;;;;
;Q2 2024;246;;;;
;Q3 2024;252;;;;
;Q4 2024;263;;;;
